K278,D, ,4-b,1-h,2-wh,,,,,,,,
K279,C, ,9-b, , ,,,,,,,,
K281,A,3-a, ,2-h,2-wh,,,,,,,,
K282,C, ,6-b,2-h, ,,,,,,,,
K284,B, ,7-b,2-h, ,,,,,,,,
K285,B, ,9-b, , ,,,,,,,,
K287,B, ,5-b,3-h, ,,,,,,,,
K288,B, ,5-b,3-h, ,,,,,,,,
K289,C, ,7-b,1-h, ,,,,,,,,
K290,B, ,2-b,6-h, ,,,,,,,,
K291,C, ,2-b,7-h, ,,,,,,,,
K292,B, ,6-b,3-h, ,,,,,,,,
K295,A, , ,5-h,3-wh,,,,,,,,
K296,F, ,4-b,5-h, ,,,,,,,,
K297,B, ,4-b,5-h, ,,,,,,,,
K298,F, ,7-b,1-h, ,,,,,,,,
K299,D, ,5-b,4-h, ,,,,,,,,
K301,B, ,8-b, , ,,,,,,,,
K302,C, ,3-b,5-h, ,,,,,,,,
K303,A,2-a,1-b,3-h,3-wh,,,,,,,,
K305,C, ,8-b,1-h, ,,,,,,,,
K306,F, ,7-b,2-h, ,,,,,,,,
K307,C, ,6-b,2-h, ,,,,,,,,
K308,D, ,8-b,1-h, ,,,,,,,,
K309,C, ,7-b,2-h, ,,,,,,,,
K311,C, ,7-b,2-h, ,,,,,,,,
K312,C, ,3-b,1-h,4-wh,,,,,,,,
K313,A, ,6-b,3-h, ,,,,,,,,
K315,B, ,7-b,1-h, ,,,,,,,,
K316,C, ,7-b,1-h, ,,,,,,,,
K318,C, ,1-b,6-h,1-wh,,,,,,,,
K321,A, , ,1-h,7-wh,,,,,,,,
K323,A, ,8-b,1-h, ,,,,,,,,
K327,C, ,7-b,1-h, ,,,,,,,,
K328,D, ,5-b,4-h, ,,,,,,,,
K329,B, ,6-b,2-h, ,,,,,,,,
K330,B, ,6-b,3-h, ,,,,,,,,
K332,None, ,6-b,3-h, ,,,,,,,,
K334,C, ,8-b,1-h, ,,,,,,,,
K335,A, ,8-b,1-h, ,,,,,,,,
K336,D, ,8-b, , ,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,8-r,7-m,8-w,,,,
K340,C, ,9-b, , ,,,,,,,,
K345,C, ,4-b,4-h, ,,,,,,,,
K346,C, ,6-b,2-h, ,,,,,,,,
K347,C, ,1-b,8-h, ,,,,,,,,
K349,C, ,1-b,8-h, ,,,,,,,,
K352,B, ,7-b,1-h, ,,,,,,,,
K353,B, ,8-b,1-h, ,,,,,,,,
K354,B, ,8-b,1-h, ,,,,,,,,
K364,C, ,7-b,2-h, ,,,,,,,,
K366,B, ,9-b, , ,,,,,,,,
K375,A, ,7-b,1-h, ,,,,,,,,
K376,C, , ,8-h, ,,,,,,,,
K377,F, ,1-b,7-h, ,,,,,,,,
K380,A, ,1-b,7-h, ,,,,,,,,
K381,C, ,6-b,1-h, ,,,,,,,,
K382,B, ,9-b, , ,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,7-r,7-m,7-w,,,,
K383,B, ,6-b,2-h, ,,,,,,,,
K384,B, ,2-b,7-h, ,,,,,,,,
K385,B, ,8-b,1-h, ,,,,,,,,
K392,A, ,7-b,1-h, ,,,,,,,,
K393,F, ,8-b,1-h, ,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,7-r,7-m,7-w,,,,
K394,B, ,8-b, , ,,,,,,,,
K397,B, ,9-b, , ,,,,,,,,
K398,B, ,8-b, , ,,,,,,,,
K399,B, ,8-b,1-h, ,,,,,,,,
K409,A, ,6-b,3-h, ,EAST NEW YORK FAMILY ACADEMY,8-r,8-m,7-w,,,,
K418,A, , ,1-h,6-wh,,,,,,,,
