'K425', 'B', '2-a', '1-b', '1-h', '4-wh', 'JAMES MADISON HIGH SCHOOL', '8-r', '9-m', '8-w'
'K429', 'B', '5-b', '3-h', 'BROOKLYN SCHOOL FOR GLOBAL STUDIES', '7-r', '7-m', '7-w'
'K430', 'B', '6-a', '1-b', '2-wh', 'BROOKLYN TECHNICAL HIGH SCHOOL', '11-r', '13-m', '11-w'
'K439', 'A', '4-a', '2-b', '2-h', 'BROOKLYN INTERNATIONAL HIGH SCHOOL', '6-r', '7-m', '6-w'
'K445', 'B', '3-a', '2-h', '3-wh', 'NEW UTRECHT HIGH SCHOOL', '8-r', '9-m', '7-w'
'K448', 'A', '3-b', '4-h', '1-wh', 'BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES', '7-r', '7-m', '7-w'
'K449', 'B', '3-a', '2-b', '1-h', '1-wh', 'BROOKLYN LATIN SCHOOL  THE', '11-r', '11-m', '11-w'
'K454', 'B', '4-b', '4-h', 'GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS', '8-r', '7-m', '7-w'
'K462', 'C', '6-b', '2-h', 'SECONDARY SCHOOL FOR LAW', '7-r', '8-m', '7-w'
'K463', 'B', '4-b', '4-h', 'SECONDARY SCHOOL FOR JOURNALISM', '7-r', '7-m', '7-w'
'K464', 'D', '3-b', '5-h', 'PARK SLOPE COLLEGIATE', '7-r', '8-m', '7-w'
'K474', 'C', '3-b', '6-h', 'PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS', '7-r', '7-m', '7-w'
'K477', 'D', '5-b', '3-h', 'SCHOOL FOR LEGAL STUDIES', '8-r', '7-m', '7-w'
'K478', 'A', '3-b', '5-h', 'THE HIGH SCHOOL FOR ENTERPRISE  BUSINESS AND TECHNOLOGY', '7-r', '8-m', '7-w'
'K483', 'B', '7-b', '1-h', 'THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE', '8-r', '8-m', '7-w'
'K485', 'A', '1-a', '5-h', '1-wh', 'HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY', '8-r', '9-m', '8-w'
'K488', 'B', '5-b', '3-h', 'BROOKLYN PREPARATORY HIGH SCHOOL', '7-r', '7-m', '7-w'
'K490', 'B', '3-a', '3-h', '3-wh', 'FORT HAMILTON HIGH SCHOOL', '8-r', '9-m', '8-w'
'K495', 'D', '1-a', '6-b', '1-h', '1-wh', 'SHEEPSHEAD BAY HIGH SCHOOL', '7-r', '7-m', '7-w'
'K497', 'Pending', '4-b', '3-h', '1-wh', 'SCHOOL FOR INTERNATIONAL STUDIES', '8-r', '8-m', '7-w'
'K498', 'B', '7-b', '2-h', 'BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY', '7-r', '7-m', '7-w'
'K499', 'B', '8-b', '1-h', 'ACORN COMMUNITY HIGH SCHOOL', '7-r', '7-m', '7-w'
'K502', 'Pending', '7-b', '2-h', 'FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY', '6-r', '6-m', '6-w'
'K504', 'B', '7-b', '2-h', 'HIGH SCHOOL FOR CIVIL RIGHTS', '7-r', '6-m', '6-w'
'K505', 'B', '4-a', '2-h', '1-wh', 'FRANKLIN DELANO ROOSEVELT HIGH SCHOOL', '7-r', '9-m', '7-w'
'K507', 'B', '8-b', '1-h', 'PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL', '7-r', '7-m', '7-w'
'K509', 'F', '8-b', '1-h', 'FREEDOM ACADEMY HIGH SCHOOL', '8-r', '7-m', '8-w'
'K510', 'C', '8-b', '1-h', 'WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL', '7-r', '7-m', '7-w'
'K514', 'A', '8-b', '1-h', 'FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL', '7-r', '7-m', '7-w'
'K519', 'B', '7-b', '2-h', 'COBBLE HILL SCHOOL OF AMERICAN STUDIES', '7-r', '8-m', '7-w'
'K520', 'None', '8-b', '1-h', 'PACIFIC HIGH SCHOOL', '7-r', '6-m', '6-w'
'K524', 'A', '2-a', '2-b', '2-h', '1-wh', 'INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS', '5-r', '6-m', '5-w'
'K525', 'B', '2-a', '2-b', '1-h', '3-wh', 'EDWARD R. MURROW HIGH SCHOOL', '9-r', '9-m', '9-w'
'K530', 'None', '8-b', '1-h', 'METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL', '7-r', '7-m', '7-w'
'K535', 'A', '1-a', '1-h', '6-wh', 'LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES', '1', '11-m', '1'
'K540', 'C', '3-a', '3-b', '1-h', '1-wh', 'JOHN DEWEY HIGH SCHOOL', '8-r', '9-m', '7-w'
'K544', 'F', '8-b', '1-h', 'INTERNATIONAL ARTS BUSINESS SCHOOL', '7-r', '7-m', '7-w'
'K546', 'A', '8-b', '1-h', 'HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW', '8-r', '8-m', '8-w'
'K547', 'B', '7-b', '1-h', 'BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT', '7-r', '7-m', '7-w'
'K548', 'B', '8-b', '1-h', 'BROOKLYN SCHOOL FOR MUSIC & THEATRE', '7-r', '7-m', '7-w'
'K549', 'A', '2-b', '6-h', 'BUSHWICK SCHOOL FOR SOCIAL JUSTICE', '6-r', '7-m', '6-w'
'K552', 'B', '2-b', '7-h', 'ACADEMY OF URBAN PLANNING', '6-r', '7-m', '7-w'
'K553', 'None', '8-b', '1-h', 'BROOKLYN ACADEMY HIGH SCHOOL', '8-r', '7-m', '7-w'
'K554', 'A', '1-b', '7-h', 'ALL CITY LEADERSHIP SECONDARY SCHOOL', '8-r', '9-m', '8-w'
'K555', 'A', '7-b', '1-h', 'BROOKLYN COLLEGE ACADEMY', '9-r', '9-m', '8-w'
'K556', 'C', '2-b', '7-h', 'BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE', '6-r', '7-m', '7-w'
'K558', 'A', '3-b', '5-h', 'WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN', '7-r', '7-m', '7-w'
'K559', 'B', '4-b', '2-h', '2-wh', 'LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC', '7-r', '7-m', '7-w'
'K561', 'A', '2-b', '6-h', '1-wh', 'WILLIAMSBURG PREPARATORY SCHOOL', '7-r', '8-m', '7-w'
'K564', 'None', '3-b', '6-h', 'BUSHWICK COMMUNITY HIGH SCHOOL', '7-r', '6-m', '7-w'
'K567', 'A', '8-b', '1-h', 'BROOKLYN THEATRE ARTS HIGH SCHOOL', '7-r', '7-m', '7-w'
'K572', 'D', '1-a', '1-b', '4-h', '1-wh', 'EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS', '7-r', '7-m', '7-w'
'K575', 'None', '8-b', '1-h', 'BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL', '7-r', '7-m', '7-w'
'K586', 'A', '4-b', '5-h', 'LYONS COMMUNITY SCHOOL', '7-r', '7-m', '7-w'
'K594', 'F', '7-b', '1-h', 'GOTHAM PROFESSIONAL ARTS ACADEMY', '7-r', '7-m', '7-w'
