X430,YABC AT WALTON HIGH SCHOOL ,0-r,0-m,0-w,2010
X433,HIGH SCHOOL TEACHING PROFESSNS ,7-r,7-m,7-w,2010
X434,Belmont Preparatory High School ,7-r,7-m,6-w,2010
X437,Fordham High School for the Arts ,7-r,7-m,7-w,2010
X438,Fordham Leadership Academy for Business Technolog ,7-r,7-m,7-w,2010
X439,Bronx High School of Law and Community Service ,7-r,8-m,7-w,2010
X440,DeWitt Clinton High School ,8-r,8-m,8-w,2010
X442,BRONX HIGH SCHOOL OF MUSIC ,8-r,8-m,8-w,2010
X445,BRONX HIGH SCHOOL OF SCIENCE ,12-r,13-m,12-w,2010
X475,JOHN F KENNEDY HIGH SCHOOL ,7-r,7-m,7-w,2010
X477,MARBLE HILL SCH INTL STUDIES ,8-r,8-m,8-w,2010
X478,YABC AT JOHN F. KENNEDY HIGH SCHOOL ,7-r,7-m,7-w,2010
X546,BRONX THEATER HIGH SCHOOL ,8-r,7-m,7-w,2010
X549,DISCOVERY HIGH SCHOOL ,6-r,6-m,7-w,2010
X660,Grace Dodge Vocational High School ,7-r,7-m,7-w,2010
X667,YABC AT GRACE DODGE HIGH SCHOOL ,7-r,7-m,7-w,2010
X696,HS of American Studies at Lehman College ,12-r,12-m,12-w,2010
X249,Bronx Health School High School 11x249 ,7-r,7-m,7-w,2010
X253,High School For Writing & Communication Arts ,7-r,7-m,7-w,2010
X265,BRONX LAB SCHOOL ,7-r,7-m,7-w,2010
X270,Academy for Scholarship and Entrepreneurship ,7-r,7-m,7-w,2010
X275,High School of Computers and Technology ,7-r,8-m,7-w,2010
X288,Columbus Institute for Math and Science ,8-r,9-m,8-w,2010
X290,BRONX ACAD OF HEALTH CAREERS ,7-r,7-m,7-w,2010
X299,ASTOR COLLEGIATE ACADEMY ,8-r,8-m,7-w,2010
X415,Christopher Columbus High School ,7-r,7-m,7-w,2010
X418,Bronx High School for the Visual Arts ,8-r,8-m,7-w,2010
X425,EVANDER CHILDS HIGH SCHOOL ,6-r,6-m,7-w,2010
X455,HARRY S TRUMAN HIGH SCHOOL ,7-r,7-m,7-w,2010
X456,YABC AT HARRY S. TRUMAN HIGH SCHOOL ,0-r,0-m,0-w,2010
X513,NEW WORLD HIGH SCHOOL ,6-r,7-m,6-w,2010
X514,Bronxwood Peparatory Academy ,7-r,7-m,7-w,2010
X541,GLOBAL ENTERPRISE HIGH SCHOOL ,7-r,7-m,7-w,2010
X542,PELHAM PREPARATORY ACADEMY ,8-r,8-m,8-w,2010
X544,High School for the Contemporary Arts ,7-r,6-m,6-w,2010
X545,BRONX AEROSPACE HIGH SCHOOL ,7-r,7-m,7-w,2010
X245,NEW DAY ACADEMY ,7-r,6-m,7-w,2010
X248,METROPOLITAN HIGH SCHOOL ,6-r,7-m,6-w,2010
X251,EXPLORATIONS ACADEMY ,7-r,7-m,6-w,2010
X262,Bronx High School Performance & Stage ,7-r,7-m,7-w,2010
X267,Bronx Latin School ,0-r,0-m,0-w,2010
X271,EAST BRONX ACADEMY FOR THE FUTURE ,8-r,7-m,7-w,2010
X278,PEACE & DIVERSITY ACAD HIGH SCHOOL ,8-r,8-m,8-w,2010
X400,Morris High School ,7-r,7-m,7-w,2010
X428,YABC at Monroe Academy ,7-r,6-m,7-w,2010
X446,Schomburg Satellite Academy ,7-r,7-m,7-w,2010
X480,BRONX REGIONAL HIGH SCHOOL ,7-r,7-m,7-w,2010
X550,HIGH SCHOOL OF WORLD CULTURES ,5-r,6-m,5-w,2010
X680,Bronx Coalition Community High School ,7-r,7-m,7-w,2010
X682,Fannie Lou Hamer Freedom High School ,6-r,6-m,6-w,2010
X684,WINGS ACADEMY ,7-r,7-m,7-w,2010
X690,MONROE CAMPUS ,7-r,7-m,7-w,2010
X692,MONROE ACAD VISUAL ARTS DESGN ,6-r,6-m,7-w,2010
K265,Dr Susan S McKinney Secondary School of the Arts ,7-r,7-m,7-w,2010
K336,Urban Assembly Academy of Business & Community D ,0-r,0-m,0-w,2010
K350,Urban Assembly School of Music and Art ,7-r,7-m,7-w,2010
K412,BROOKLYN COMMUNITY HIGH SCHOOL ,7-r,7-m,7-w,2010
K419,Science Skills Center High School ,8-r,8-m,8-w,2010
K430,BROOKLYN TECHNICAL HIGH SCHOOL ,11-r,13-m,11-w,2010
K483,Urban Assembly School of Law and Justice ,8-r,8-m,8-w,2010
K499,Acorn Association of Community Organization Return ,7-r,7-m,7-w,2010
K509,FREEDOM ACADEMY ,8-r,7-m,8-w,2010
K553,BROOKLYN ACADEMY HIGH SCHOOL ,8-r,7-m,7-w,2010
K575,Bedford Stuyvesant Street Academy High School ,7-r,7-m,7-w,2010
K595,BEDFORD ACADEMY HIGH SCHOOL ,9-r,9-m,8-w,2010
K605,George Westinghouse Vocational Technical HS ,7-r,7-m,7-w,2010
K616,Brooklyn High Sch for Leadership Community Svc ,6-r,5-m,6-w,2010
K670,BENJAMIN BANNEKER ACADEMY ,9-r,9-m,8-w,2010
K071,JHS 071 JUAN MOREL CAMPOS ,7-r,7-m,6-w,2010
K322,FOUNDATIONS ACADEMY ,7-r,7-m,7-w,2010
K404,ACADEMY FOR YOUNG WRITERS ,7-r,7-m,7-w,2010
K449,BROOKLYN LATIN SCHOOL ,10-r,10-m,10-w,2010
K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMEN ,7-r,7-m,7-w,2010
K474,Progress High School For Professional Careers ,7-r,7-m,7-w,2010
K477,School for Legal Studies ,7-r,7-m,7-w,2010
K478,Enterprise  Business and Technology High School ,7-r,7-m,7-w,2010
K488,BROOKLYN PREP HIGH SCHOOL ,7-r,7-m,7-w,2010
K558,Williamsburg High School for Architecture & Design ,7-r,7-m,7-w,2010
K561,WILLIAMSBURG PREP ,7-r,7-m,7-w,2010
K586,LYONS COMMUNITY SCHOOL ,0-r,0-m,0-w,2010
K610,AUTOMOTIVE HIGH SCHOOL ,7-r,7-m,6-w,2010
K632,The Frances Perkins Academy ,0-r,0-m,0-w,2010
K640,HARRY VAN ARSDALE HIGH SCHOOL ,0-r,0-m,0-w,2010
K685,El Puente Academy for Peace and Justice ,7-r,7-m,7-w,2010
K923,YABC at Automative High School ,0-r,0-m,0-w,2010
K429,BROOKLYN SCHOOL GLOBAL STUDIES ,7-r,7-m,7-w,2010
K448,Brooklyn Secondary Sch for Collaborative Studies ,7-r,7-m,7-w,2010
K462,Secondary School for Law  Journalism and Research ,8-r,8-m,7-w,2010
K463,SECONDARY SCHOOL JOURNALISM ,7-r,7-m,7-w,2010
K464,SECONDARY SCHOOL FOR RESEARCH ,7-r,7-m,7-w,2010
K497,SCHOOL INTERNATIONAL STUDIES ,8-r,8-m,7-w,2010
K519,COBBE HILL SCHOOL AMERICAN STD ,7-r,7-m,7-w,2010
K520,PACIFIC HIGH SCHOOL ,7-r,7-m,6-w,2010
K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL ,7-r,7-m,7-w,2010
K530,METROPOLITAN CORPORATE ACADEMY ,7-r,6-m,6-w,2010
K656,Brooklyn High School of the Arts ,8-r,8-m,8-w,2010
K698,South Brooklyn Community High School ,7-r,7-m,7-w,2010
K393,Frederick Douglass Academy IV Seconday School ,8-r,8-m,8-w,2010
K455,BOYS AND GIRLS HIGH SCHOOL ,7-r,7-m,7-w,2010
K498,Acorn High School for Social Justice ,7-r,7-m,7-w,2010
K594,Gotham Professional Arts Academy ,0-r,0-m,0-w,2010
K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,8-r,8-m,8-w,2010
K408,ACADEMY OF HOSPITALITY AND TOURISM ,8-r,8-m,7-w,2010
K440,Prospect Heights High School ,7-r,7-m,7-w,2010
K467,YABC AT ERASMUS CAMPUS ,0-r,0-m,0-w,2010
K469,Campus School of the Humanities at Erasmus Hall ,0-r,0-m,0-w,2010
K470,George Wood Wingate High School ,0-r,0-m,0-w,2010
K489,W E B DUBOIS HIGH SCHOOL ,7-r,6-m,7-w,2010
K524,International High School @Prospect Hgt ,6-r,6-m,6-w,2010
K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,7-r,7-m,7-w,2010
K531,SCHOOL FOR HUMAN RIGHTS ,7-r,7-m,6-w,2010
K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP ,7-r,7-m,7-w,2010
K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,7-r,7-m,7-w,2010
K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,7-r,7-m,7-w,2010
K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,8-r,8-m,8-w,2010
K544,INTERNATIONAL ARTS BUSINESS HS ,7-r,7-m,7-w,2010
K546,HIGH SCHOOL FOR PUBLIC SERVICE ,8-r,8-m,8-w,2010
K547,Brooklyn High School for Science and the Environ ,7-r,7-m,7-w,2010
K548,BROOKLYN HS MUSIC AND THEATER ,7-r,7-m,7-w,2010
K568,BROWNSVILLE ACADEMY HIGH SCHOOL ,7-r,7-m,7-w,2010
K590,Medgar Evers College Preparatory High School ,9-r,9-m,9-w,2010
K600,Clara Barton High School ,8-r,8-m,8-w,2010
K625,Paul Robeson High School ,7-r,7-m,6-w,2010
K415,SAMUEL J TILDEN HIGH SCHOOL ,6-r,6-m,6-w,2010
K500,CANARSIE HIGH SCHOOL ,7-r,7-m,7-w,2010
K501,YABC AT CANARSIE HIGH SCHOOL ,0-r,0-m,0-w,2010
K515,SOUTH SHORE HIGH SCHOOL ,7-r,7-m,6-w,2010
K563,IT TAKES A VILLAGE ACADEMY ,0-r,0-m,0-w,2010
K566,BROOKLYN GENERATION SCHOOL ,0-r,0-m,0-w,2010
K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,0-r,0-m,0-w,2010
K569,Kurt Hahn Expeditionary Learning School ,0-r,0-m,0-w,2010
K576,VICTORY COLLEGIATE HIGH SCHOOL ,0-r,0-m,0-w,2010
K578,BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ,7-r,7-m,7-w,2010
K589,ARTS & MEDIA PREPARATORY ACADEMY ,0-r,0-m,0-w,2010
K617,High School for Innovation in Advertising and Media ,0-r,0-m,0-w,2010
K629,Cultural Academy for the Arts and Sciences ,0-r,0-m,0-w,2010
K633,High School for Medical Professions ,0-r,0-m,0-w,2010
K635,OLYMPUS ACADEMY ,7-r,7-m,7-w,2010
K642,Urban Action Academy ,0-r,0-m,0-w,2010
K673,East Brooklyn Community High School ,0-r,0-m,0-w,2010
K409,EAST NEW YORK FAMILY ACADEMY ,8-r,8-m,8-w,2010
K420,FRANKLIN K LANE HIGH SCHOOL ,7-r,7-m,6-w,2010
K431,YOUNG ADULT BOROUGH CTR  THOMAS JEFFERS ,0-r,0-m,0-w,2010
K435,THOMAS JEFFERSON HIGH SCHOOL ,0-r,0-m,0-w,2010
K502,FDNY HIGH SCH DOR FIRE & LIFE ,7-r,7-m,7-w,2010
K504,HIGH SCHOOL FOR CIVIL RIGHTS ,7-r,7-m,7-w,2010
K507,PERFORMING ARTS & TECH HIGH SCHOOL ,7-r,7-m,7-w,2010
K510,World Acad for Total Community Health ,7-r,7-m,7-w,2010
K583,Multicultural High School ,0-r,0-m,0-w,2010
K615,East New York High School of Transit Technology ,8-r,8-m,8-w,2010
K618,Academy of Innovative Technology High School ,0-r,0-m,0-w,2010
